,open,high,low,close,volume,pre_close,p_change,date,date_week,key,atr21,atr14
2017-10-30,319.18,323.78,317.25,320.08,4254378,320.87,-0.24600000000000002,20171030,0,199,11.082543528660215,10.982698842086556
2017-10-31,320.23,331.95,320.18,331.53,5672347,320.08,3.577,20171031,1,200,11.145039571808459,11.087672329808381
2017-11-01,332.25,332.60900000000004,320.26,321.08,8457336,331.53,-3.1519999999999997,20171101,2,201,11.270854156737037,11.27984935250065
2017-11-02,300.13,308.69,292.63,299.26,19791416,321.08,-6.796,20171102,3,202,13.782594697879862,14.962536105501451
2017-11-03,299.5,306.25,295.13,306.09,8893974,299.26,2.282,20171103,4,203,14.888722456596362,16.427531291434903
2017-11-06,307.0,307.5,299.01,302.78,6486009,306.09,-1.081,20171106,0,204,14.307020413185647,15.36919378591006
2017-11-07,301.02,306.5,300.03,306.05,5294274,302.78,1.08,20171107,1,205,13.594564009869252,14.182634614455202
2017-11-08,305.5,306.89,301.3,304.39,4725271,306.05,-0.542,20171108,2,206,12.866876370642066,13.036949999194348
2017-11-09,302.5,304.46,296.3,302.99,5447147,304.39,-0.46,20171109,3,207,12.58352397261491,12.598689999301726
2017-11-10,302.5,308.36,301.85,302.99,4625429,302.99,0.0,20171110,4,208,12.031385428416879,11.786864666061412
2017-11-13,300.13,316.8,299.11,315.4,7584944,302.99,4.096,20171113,0,209,12.545804935968802,12.573949377253292
2017-11-14,315.0,316.35,306.9,308.7,5676076,315.4,-2.124,20171114,1,210,12.619822669199158,12.678756126952862
2017-11-15,306.01,312.49,301.5,311.3,5978665,308.7,0.8420000000000001,20171115,2,211,12.736202426739958,12.841588643359163
2017-11-16,313.99,318.14,311.3,312.5,5822073,311.3,0.385,20171116,3,212,12.436547660215618,12.38804349091124
2017-11-17,325.67,326.67,313.15,315.05,13735139,312.5,0.816,20171117,4,213,12.703225146020344,12.785637692123087
2017-11-20,313.79,315.5,304.75,308.74,8247650,315.05,-2.003,20171120,0,214,12.52565922343102,12.514219333173331
2017-11-21,310.86,318.23,308.71,317.81,7261273,308.74,2.938,20171121,1,215,12.252417475533253,12.11499008875021
2017-11-22,316.77,317.42,311.84,312.6,4917636,317.81,-1.639,20171122,2,216,11.927652250146432,11.656991410250168
2017-11-24,313.79,316.41,311.0,315.55,3244065,312.6,0.9440000000000001,20171124,4,217,11.462411136056133,11.010725888883469
2017-11-27,313.14,317.32,309.85,316.74,169414,315.55,0.377,20171127,0,218,11.09946466882944,10.538629103698991
2017-11-28,316.36,320.0,313.92,317.55,4949491,316.74,0.256,20171128,1,219,10.643149698578682,9.944145223205776
2017-11-29,317.3,318.0,301.23,307.54,8767398,317.55,-3.1519999999999997,20171129,2,220,11.200136090013316,10.85425919344502
2017-11-30,308.56,310.7,304.54,308.85,4351587,307.54,0.426,20171130,3,221,11.36466917284581,11.141691300985688
2017-12-01,305.44,310.32,305.05,306.53,4292868,308.85,-0.7509999999999999,20171201,4,222,10.810608338624906,10.358799127520916
2017-12-04,306.5,308.265,300.61,305.2,5835140,306.53,-0.434,20171204,0,223,10.57691667135226,10.076292577184798
2017-12-05,302.0,308.0,301.0,303.7,4646520,305.2,-0.491,20171205,1,224,10.251742428344016,9.666120233560154
2017-12-06,300.1,313.39,300.0,313.26,7195341,303.7,3.148,20171206,2,225,10.537038571347884,10.162637535752136
2017-12-07,312.0,318.63,311.05,311.24,4780597,313.26,-0.645,20171207,3,226,10.936398701385752,10.798285864318517
